name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,name,userid,highestTrophies,trophies,3vs3Victories,expPoints,winrate,winrate,winrate,usage,usage,usage,victory
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.1,71.26,54.35,1.04,3.17,1.33,1
야야김치,#YGG8VYP8,18433,17401,13205,246399,재영하이,#PR9PVYJ9Q,5099,5085,882,14844,アミダ丸,#UCUJ2Q28,11919,11473,3673,54462,66.33,73.53,85.29,3.52,1.33,0.77,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.1,71.26,54.35,1.04,3.17,1.33,1
ももんが,#2YLR2LCLQ,15530,15530,6518,123858,Androidだから優しくね#,#2VQL880,18100,18026,9845,148075,1234567890,#92GL8U2VC,12604,12459,4604,103654,69.33,63.46,68.82,1.39,3.52,1.7,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,66.1,71.26,54.35,1.04,3.17,1.33,1
연산동 이쁘니,#8RRUUQCJ2,12123,12123,5311,102106,달달달,#29U9Y8CV2,7250,7168,12447,207608,규루썬숙,#99YGVL8CQ,14324,14117,16303,207109,73.53,71.51,78.57,1.33,3.54,1.47,0
イキイキした社畜,#90LJQ9YV,20195,18666,8533,152504,カンペキ美少年,#20QVJR8PV,19337,18254,11122,174281,SEED:P,#8C2YPQQPV,20539,19550,5988,140593,78.95,66.67,73.53,1.2,1.07,1.33,1
Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,71.26,54.35,66.1,3.17,1.33,1.04,0
ユヌ_Yunu☆,#2QU9QR2P0,24666,20871,17973,255345,ᴍ꙼̈ᴇᴄ ♃ Soumen,#20RGG0RLR,26419,21586,21542,269563,オラ楓☆絶対ミッド行くマン,#29YQUPUYJ,21513,19972,10023,222014,69.33,77.08,74.84,1.39,2.96,3.09,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
こけ,#2Q9RYQPR2,18451,17236,11990,186262,Eipix the beast,#902Q8CR,21609,19185,7185,132567,Hagex the beast,#82QGUPU,25355,21020,19240,263170,67.57,68.92,54.35,4.0,1.36,1.33,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
やべち,#2JRRLRQ9,19369,18311,5946,147787,洗礼者ヨハネ,#28R2GVJLU,10630,10526,1548,47814,윌리엄,#9YCPPCYY9,7932,7893,1110,31212,77.08,66.1,77.23,2.96,1.04,2.08,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,74.4,54.35,73.53,4.1,1.33,1.33,0
Xanxus,#YJJ8CVY8,19639,18238,8345,138764,Dragonite,#22LQ22YPV,20766,18905,7277,116646,AsSaSsInCoDe,#92Y98LUR,16405,16405,4224,73328,78.95,71.26,68.82,1.2,3.17,1.7,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
りょた,#80JUPLRJR,17279,17268,3702,75821,あいちゃん,#8VRC82QQC,13715,13715,2153,62413,ゆきちむ,#2J89LLP8Y,16676,16273,9165,171768,66.33,74.18,68.82,3.52,3.6,1.7,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,1
✨LOLLIPOP™|>.<,#GCR8Y9LG,20023,18416,7828,172735,ʕ•̫͡•KennySʕ•̫͡,#R0YRULLP,19851,18642,5728,128564,dead prime ☺️,#JRGJQP0R,26072,22435,13896,270340,79.79,66.1,66.33,2.0,1.04,3.52,0
天泪,#2L82VL9P8,19414,18391,5412,100830,sobayuni,#8R0UPC8LY,8526,8505,868,23525,べるぜバブ凱,#UV2VCLJL,15024,14766,4965,94080,73.53,71.26,69.33,1.33,3.17,1.39,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
Dumbnoobie,#QJ2J8QV9,12970,12897,3129,78616,お姫様,#LRQCYGPR,14264,14256,12380,185535,Bugy,#2PJPY2QC9,13008,13005,3938,65512,54.35,73.53,77.08,1.33,1.33,2.96,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
@豆 族長ジェリービーンズ,#8822UYQ9C,16992,16396,8126,126215,ショウゴン,#PR00Y092,16813,16327,5363,94687,ちゃわんむしし,#8QU2LGC2V,15932,15766,2551,49848,66.1,66.33,74.84,1.04,3.52,3.09,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,1
atempo,#P8V0J9CU,9516,9347,1415,58913,ねこてん,#2P0CCJYUQ,17905,17008,8572,139326,chosahoo,#YV0C0QP0,15708,15621,4586,89508,74.85,79.79,77.23,3.25,2.0,2.08,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,1
大和亀王,#2QJ9G2L0,18884,17853,11301,170586,鶴川健太,#2RU8C89G,20278,18051,13065,194051,SAKANAITO,#20C09JY20,15579,15366,4675,74851,54.35,67.57,77.08,1.33,4.0,2.96,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
Show害ᛃありえす,#LUQ2PJYY,23153,19514,9856,166128,あぶそる,#GY8VVCG9,21979,19201,15943,231236,ωケツキングω,#2GCJ98R0P,18627,17426,10716,200831,73.53,79.69,66.1,1.33,2.72,1.04,1
f@@k kimchi,#8JCC2Q8P,20232,18751,18629,276523,LOVERS,#2YL28Q9UC,19930,19930,9365,181066,권잭,#C08G98JL,6133,5927,6128,90847,78.57,54.35,73.53,1.17,1.33,1.33,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
GOD kira,#U08GCLPU,23027,19267,16036,254211,alphabeastaro q,#8V00YP8Y,21045,18835,5671,234578,FootPath Driver,#20RCPLRUY,17408,16633,3032,97595,66.1,71.26,66.33,1.04,3.17,3.52,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,あかつき,#2U9CUQP0,27407,27407,26468,286240,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,74.4,54.35,73.53,4.1,1.33,1.33,0
에스테반|Esteban,#2CV0RUYPJ,17594,16747,4333,96724,イキイキした社畜,#90LJQ9YV,20195,18666,8533,152504,SEED:P,#8C2YPQQPV,20539,19550,5988,140593,63.46,54.35,73.53,3.52,1.33,1.33,1
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,0
Lil.Dembsey,#P29Y9UGU,30192,29369,29837,295465,Bad Shana,#9JVVVPQL,27094,27094,9304,130361,あかつき,#2U9CUQP0,27407,27407,26468,286240,74.4,73.53,54.35,4.1,1.33,1.33,1
ᴍ꙼̈ᴇᴄ ♃ Soumen,#20RGG0RLR,26419,21586,21542,269563,オラ楓☆絶対ミッド行くマン,#29YQUPUYJ,21513,19972,10023,222014,ユヌ_Yunu☆,#2QU9QR2P0,24666,20871,17973,255345,71.51,74.84,69.33,3.54,3.09,1.39,0
Mr Nobody ☠️,#G20QCUL,25072,21504,28047,370125,Pusparaj Mishra,#20J8J2Q0U,21170,18729,20314,344765,Amar Jr. ☠️,#8UGPRG99,25294,20085,15565,234198,66.33,68.82,73.53,3.52,1.7,1.33,1
